🚀 Supabase Upload Script Started
Processing [356/3027] photo_1.png... ✅ Done.
Processing [357/3027] photo_1.PNG... ✅ Done.
Processing [358/3027] photo_1.PNG... ✅ Done.
Processing [359/3027] photo_1.PNG... ✅ Done.
Processing [360/3027] photo_1.PNG... ✅ Done.
Processing [361/3027] photo_1.PNG... ✅ Done.
Processing [362/3027] photo_1.jpg... ✅ Done.
Processing [363/3027] photo_2.jpg... ✅ Done.
Processing [364/3027] photo_3.jpg... ✅ Done.
Processing [365/3027] photo_1.PNG... ✅ Done.
Processing [366/3027] photo_1.PNG... ✅ Done.
Processing [367/3027] photo_1.PNG... ✅ Done.
Processing [368/3027] photo_1.jpg... ✅ Done.
Processing [369/3027] photo_1.jpg... ✅ Done.
Processing [370/3027] photo_2.jpg... ✅ Done.
Processing [371/3027] photo_3.jpg... ✅ Done.
Processing [372/3027] photo_4.jpg... ✅ Done.
Processing [373/3027] photo_5.jpg... ✅ Done.
Processing [374/3027] photo_6.jpg... ✅ Done.
Processing [375/3027] photo_7.jpg... ✅ Done.
Processing [376/3027] photo_1.PNG... ✅ Done.
Processing [377/3027] photo_1.PNG... ✅ Done.
Processing [378/3027] photo_1.jpg... ✅ Done.
Processing [379/3027] photo_10.jpg... ✅ Done.
Processing [380/3027] photo_2.jpg... ✅ Done.
Processing [381/3027] photo_3.jpg... ✅ Done.
Processing [382/3027] photo_4.jpg... ✅ Done.
Processing [383/3027] photo_5.jpg... ✅ Done.
Processing [384/3027] photo_6.jpg... ✅ Done.
Processing [385/3027] photo_7.jpg... ✅ Done.
Processing [386/3027] photo_8.jpg... ✅ Done.
Processing [387/3027] photo_9.jpg... ✅ Done.
Processing [388/3027] photo_1.PNG... ✅ Done.
Processing [389/3027] photo_1.PNG... ✅ Done.
Processing [390/3027] photo_1.jpg... ✅ Done.
Processing [391/3027] photo_1.PNG... ✅ Done.
Processing [392/3027] photo_1.PNG... ✅ Done.
Processing [393/3027] photo_1.PNG... ✅ Done.
Processing [394/3027] photo_1.PNG... ✅ Done.
Processing [395/3027] photo_1.PNG... ✅ Done.
Processing [396/3027] photo_1.PNG... ✅ Done.
Processing [397/3027] photo_1.PNG... ✅ Done.
Processing [398/3027] photo_1.PNG... ✅ Done.
Processing [399/3027] photo_1.PNG... ✅ Done.
Processing [400/3027] photo_1.PNG... ✅ Done.
Processing [401/3027] photo_1.jpg... ✅ Done.
Processing [402/3027] photo_2.jpg... ✅ Done.
Processing [403/3027] photo_3.jpg... ✅ Done.
Processing [404/3027] photo_4.jpg... ✅ Done.
Processing [405/3027] photo_5.jpg... ✅ Done.
Processing [406/3027] photo_1.jpg... ✅ Done.
Processing [407/3027] photo_2.jpg... ✅ Done.
Processing [408/3027] photo_3.jpg... ✅ Done.
Processing [409/3027] photo_4.jpg... ✅ Done.
Processing [410/3027] photo_1.jpg... ✅ Done.
Processing [411/3027] photo_2.jpg... ✅ Done.
Processing [412/3027] photo_3.jpg... ✅ Done.
Processing [413/3027] photo_4.jpg... ✅ Done.
Processing [414/3027] photo_5.jpg... ✅ Done.
Processing [415/3027] photo_6.jpg... ✅ Done.
Processing [416/3027] photo_7.jpg... ✅ Done.
Processing [417/3027] photo_8.jpg... ✅ Done.
Processing [418/3027] photo_9.jpg... ✅ Done.
Processing [419/3027] photo_1.PNG... ✅ Done.
Processing [420/3027] photo_1.PNG... ✅ Done.
Processing [421/3027] photo_1.JPG... ✅ Done.
Processing [422/3027] photo_1.jpg... ✅ Done.
Processing [423/3027] photo_2.jpg... ✅ Done.
Processing [424/3027] photo_3.jpg... ✅ Done.
Processing [425/3027] photo_4.jpg... ✅ Done.
Processing [426/3027] photo_5.jpg... ✅ Done.
Processing [427/3027] photo_1.JPG... ✅ Done.
Processing [428/3027] photo_1.PNG... ✅ Done.
Processing [429/3027] photo_1.PNG... ✅ Done.
Processing [430/3027] photo_1.PNG... ✅ Done.
Processing [431/3027] photo_1.PNG... ✅ Done.
Processing [432/3027] photo_1.PNG... ✅ Done.
Processing [433/3027] photo_1.PNG... ✅ Done.
Processing [434/3027] photo_1.PNG... ✅ Done.
Processing [435/3027] photo_1.PNG... ✅ Done.
Processing [436/3027] photo_1.PNG... ✅ Done.
Processing [437/3027] photo_1.jpg... ✅ Done.
Processing [438/3027] photo_1.PNG... ✅ Done.
Processing [439/3027] photo_1.PNG... ✅ Done.
Processing [440/3027] photo_1.PNG... ✅ Done.
Processing [441/3027] photo_1.PNG... ✅ Done.
Processing [442/3027] photo_1.PNG... ✅ Done.
Processing [443/3027] photo_1.PNG... ✅ Done.
Processing [444/3027] photo_1.PNG... ✅ Done.
Processing [445/3027] photo_1.PNG... ✅ Done.
Processing [446/3027] photo_1.jpg... ✅ Done.
Processing [447/3027] photo_2.jpg... ✅ Done.
Processing [448/3027] photo_3.jpg... ✅ Done.
Processing [449/3027] photo_4.jpg... ✅ Done.
Processing [450/3027] photo_1.jpg... ✅ Done.
Processing [451/3027] photo_2.jpg... ✅ Done.
Processing [452/3027] photo_1.PNG... ✅ Done.
Processing [453/3027] photo_1.PNG... ✅ Done.
Processing [454/3027] photo_1.PNG... ✅ Done.
Processing [455/3027] photo_1.PNG... ✅ Done.
Processing [456/3027] photo_1.PNG... ✅ Done.
Processing [457/3027] photo_1.PNG... ✅ Done.
Processing [458/3027] photo_1.PNG... ✅ Done.
Processing [459/3027] photo_1.PNG... ✅ Done.
Processing [460/3027] photo_1.PNG... ✅ Done.
Processing [461/3027] photo_1.PNG... ✅ Done.
Processing [462/3027] photo_1.PNG... ✅ Done.
Processing [463/3027] photo_1.PNG... ✅ Done.
Processing [464/3027] photo_1.PNG... ✅ Done.
Processing [465/3027] photo_1.PNG... ✅ Done.
Processing [466/3027] photo_1.PNG... ✅ Done.
Processing [467/3027] photo_1.PNG... ✅ Done.
Processing [468/3027] photo_1.PNG... ✅ Done.
Processing [469/3027] photo_1.PNG... ✅ Done.
Processing [470/3027] photo_1.PNG... ✅ Done.
Processing [471/3027] photo_1.PNG... ✅ Done.
Processing [472/3027] photo_1.PNG... ✅ Done.
Processing [473/3027] photo_1.PNG... ✅ Done.
Processing [474/3027] photo_1.PNG... ✅ Done.
Processing [475/3027] photo_1.PNG... ✅ Done.
Processing [476/3027] photo_1.PNG... ✅ Done.
Processing [477/3027] photo_1.PNG... ✅ Done.
Processing [478/3027] photo_1.jpg... ✅ Done.
Processing [479/3027] photo_2.jpg... ✅ Done.
Processing [480/3027] photo_3.jpg... ✅ Done.
Processing [481/3027] photo_4.jpg... ✅ Done.
Processing [482/3027] photo_5.jpg... ✅ Done.
Processing [483/3027] photo_1.jpg... ✅ Done.
Processing [484/3027] photo_1.PNG... ✅ Done.
Processing [485/3027] photo_1.PNG... ✅ Done.
Processing [486/3027] photo_1.PNG... ✅ Done.
Processing [487/3027] photo_1.PNG... ✅ Done.
Processing [488/3027] photo_1.PNG... ✅ Done.
Processing [489/3027] photo_2.PNG... ✅ Done.
Processing [490/3027] photo_1.jpg... ✅ Done.
Processing [491/3027] photo_2.jpg... ✅ Done.
Processing [492/3027] photo_3.jpg... ✅ Done.
Processing [493/3027] photo_4.jpg... ✅ Done.
Processing [494/3027] photo_5.jpg... ✅ Done.
Processing [495/3027] photo_6.jpg... ✅ Done.
Processing [496/3027] photo_7.jpg... ✅ Done.
Processing [497/3027] photo_1.PNG... ✅ Done.
Processing [498/3027] photo_1.PNG... ✅ Done.
Processing [499/3027] photo_1.PNG... ✅ Done.
Processing [500/3027] photo_1.jpg... ✅ Done.
Processing [501/3027] photo_2.jpg... ✅ Done.
Processing [502/3027] photo_3.jpg... ✅ Done.
Processing [503/3027] photo_4.jpg... ✅ Done.
Processing [504/3027] photo_5.jpg... ✅ Done.
Processing [505/3027] photo_7.jpg... ✅ Done.
Processing [506/3027] photo_1.PNG... ✅ Done.
Processing [507/3027] photo_1.PNG... ✅ Done.
Processing [508/3027] photo_1.PNG... ✅ Done.
Processing [509/3027] photo_1.PNG... ✅ Done.
Processing [510/3027] photo_1.PNG... ✅ Done.
Processing [511/3027] photo_1.PNG... ✅ Done.
Processing [512/3027] photo_1.PNG... ✅ Done.
Processing [513/3027] photo_1.PNG... ✅ Done.
Processing [514/3027] photo_1.jpg... ✅ Done.
Processing [515/3027] photo_1.PNG... ✅ Done.
Processing [516/3027] photo_1.jpg... ✅ Done.
Processing [517/3027] photo_1.PNG... ✅ Done.
Processing [518/3027] photo_1.PNG... ✅ Done.
Processing [519/3027] photo_1.JPG... ✅ Done.
Processing [520/3027] photo_2.JPG... ✅ Done.
Processing [521/3027] photo_3.JPG... ✅ Done.
Processing [522/3027] photo_4.JPG... ✅ Done.
Processing [523/3027] photo_1.jpeg... ✅ Done.
Processing [524/3027] photo_1.jpg... ✅ Done.
Processing [525/3027] photo_2.jpg... ✅ Done.
Processing [526/3027] photo_3.jpg... ✅ Done.
Processing [527/3027] photo_1.PNG... ✅ Done.
Processing [528/3027] photo_1.jpg... ✅ Done.
Processing [529/3027] photo_1.PNG... ✅ Done.
Processing [530/3027] photo_1.PNG... ✅ Done.
